OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions,education,leisure,lodging,mall,medical,non refrigerated warehouse,office,other,refrigerated warehouse,restauration,services,store
19520,other,Woodland Park Methodist Church,6,1922.0,1.0,2.0,0.0,21022.0,54.0,945245.625,43.84,9.299377258248,0.12,13.759201151262806,3.80310059820396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21022.0,0.0,0.0,0.0,0.0
19537,education,Alki Elementary,1,1954.0,1.0,2.0,0.0,51489.0,93.0,1984067.625,70.76,6.517748249314172,0.37,14.500660155442471,4.27332721775054,51489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19559,mall,Noble Building,2,1967.0,1.0,1.0,0.0,48001.0,49.0,2143650.75,86.46,10.926783117765492,0.37,14.57802135794233,4.471181545984774,0.0,0.0,0.0,48001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19565,non refrigerated warehouse,(ID19565) Nelson Trucking,2,1979.0,1.0,1.0,0.0,26380.0,,509124.0,3.58,10.68274292813172,0.87,13.140448844950711,1.5216989981260935,0.0,0.0,0.0,0.0,0.0,23620.0,2760.0,0.0,0.0,0.0,0.0,0.0
19570,non refrigerated warehouse,pape' Material Handling Seattle,2,1969.0,1.0,1.0,0.0,37351.0,10.0,2559461.75,77.04,11.01828248753236,0.37,14.755307931150115,4.357221515754911,0.0,0.0,0.0,0.0,0.0,29551.0,9569.0,0.0,0.0,0.0,0.0,0.0
19572,non refrigerated warehouse,WALL & CEILING SUPPLY CO INC,2,1981.0,1.0,1.0,0.0,30375.0,73.0,345866.6875,2.41,10.926783117765492,0.87,12.75381157483465,1.2267122912954254,0.0,0.0,0.0,0.0,0.0,30375.0,0.0,0.0,0.0,0.0,0.0,0.0
19576,non refrigerated warehouse,Engineered Products,2,1979.0,1.0,1.0,0.0,30004.0,,369291.5,2.57,10.914900476403307,0.87,12.81934429194231,1.2725655957915476,0.0,0.0,0.0,0.0,0.0,24280.0,4950.0,0.0,0.0,0.0,0.0,0.0
19584,other,Sand Point Country Club,4,1928.0,1.0,3.0,0.0,39971.0,,10960107.0,416.07,10.088527164020752,0.37,16.20977269345019,6.033254073418364,0.0,0.0,0.0,0.0,0.0,0.0,644.0,36185.0,0.0,0.0,0.0,3142.0
19596,other,BALLARD CHURCH (ID19596),6,1914.0,1.0,2.0,0.0,33589.0,90.0,509836.1875,21.93,9.296627169920546,0.12,13.141846713536433,3.132446096869813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33589.0,0.0,0.0,0.0,0.0
19613,office,SBC19613,6,1979.0,1.0,3.0,0.0,43500.0,46.0,3220635.25,22.65,8.030381343781347,0.87,14.985089491169337,3.1633631149379418,0.0,0.0,0.0,0.0,0.0,0.0,43495.0,0.0,0.0,0.0,0.0,0.0
19621,office,(ID19621) BALLARD ELKS,6,1978.0,1.0,2.0,0.0,28492.0,12.0,1896298.875,37.78,9.883165160604245,0.62,14.455415111210655,3.6579046498145056,0.0,0.0,0.0,0.0,0.0,0.0,28492.0,0.0,0.0,0.0,0.0,0.0
19623,office,Shilshole Landing,6,1963.0,1.0,3.0,0.0,22325.0,,1401315.875,9.77,9.759524777536368,0.87,14.15292297747501,2.376764491168297,0.0,0.0,0.0,0.0,1800.0,0.0,18000.0,1000.0,0.0,0.0,0.0,0.0
19624,restauration,Anthony's Homeport,6,1977.0,1.0,3.0,0.0,22719.0,,1358519.0,9.47,9.735460797296655,0.87,14.121906429860156,2.3485140248824456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22719.0,0.0,0.0
19654,medical,1100 Olive Lab,7,1946.0,1.0,2.0,22000.0,22588.0,,7251589.0,50.55,1.351825247487637,0.87,15.796731313130689,3.942552210462969,0.0,0.0,0.0,0.0,69000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19694,education,Mann Building (Nova High),3,1925.0,1.0,2.0,0.0,37327.0,92.0,1967476.375,71.06,2.2310538636714914,0.37,14.492262759842902,4.277499105319947,48887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19696,store,Lane St. Goodwill,3,1917.0,1.0,2.0,0.0,147545.0,69.0,6787070.0,169.75,1.3294617848963262,0.62,15.730530036806956,5.140200498450899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147545.0
19697,other,North Substation,4,1923.0,1.0,2.0,0.0,21462.0,,1114384.625,7.77,8.88112107817015,0.87,13.923813802046515,2.171336806384092,0.0,0.0,0.0,0.0,0.0,0.0,200.0,25778.0,0.0,0.0,0.0,0.0
19728,education,Daniel Bagley Elementary,6,1930.0,1.0,2.0,0.0,47602.0,78.0,2249592.5,83.59,9.223826277177723,0.37,14.626260091191748,4.437816056315923,46066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19730,other,Brick Building,6,1917.0,1.0,2.0,0.0,28072.0,,1362523.0,63.48,8.347876571180944,0.12,14.1248494200433,4.166355098198372,0.0,23835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19742,restauration,El Gaucho Restaurant,7,1955.0,1.0,2.0,0.0,31020.0,,4970047.0,207.6,1.8867353599562668,0.12,15.41894005597386,5.340418542566672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31020.0,0.0,0.0
