OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions
457,office,1441 N. 34th Street,4,2001.0,1.0,3.0,47656.0,56041.0,office,63199.0,aucun,0.0,aucun,0.0,7.0,11319836.0,374.92,4.934694826843173,0.37,16.242067231342354,5.92937635479456
458,office,Northgate Exec Center B,5,1974.0,1.0,5.0,0.0,74880.0,office,71751.0,non refrigerated warehouse,0.0,aucun,0.0,56.0,5134607.5,35.8,10.813228435148602,0.87,15.451514156958227,3.6054978451748854
459,office,Northgate Exec Center C,5,1979.0,1.0,6.0,0.0,88774.0,office,85339.0,non refrigerated warehouse,0.0,aucun,0.0,53.0,6029121.5,42.03,10.695324000047565,0.87,15.612112035725898,3.7618975468505083
460,office,Northgate Plaza,5,1983.0,1.0,5.0,0.0,122250.0,office,91281.0,education,30177.0,office,5931.0,93.0,5535626.0,38.59,10.603881706665451,0.87,15.52671539684207,3.678576561118039
461,office,Northgate Office Building,5,1979.0,1.0,4.0,0.0,53730.0,office,53730.0,non refrigerated warehouse,0.0,aucun,0.0,20.0,4742869.0,33.06,10.770275873188025,0.87,15.372152995671103,3.5281236752345424
462,office,Delridge Building,1,1960.0,1.0,3.0,0.0,55593.0,office,55593.0,aucun,0.0,aucun,0.0,55.0,4224872.5,93.23,4.825242907060315,0.62,15.256499877496774,4.545738602218665
463,office,425 Pontius,7,1982.0,1.0,4.0,60960.0,73096.0,office,72066.0,non refrigerated warehouse,59137.0,aucun,0.0,54.0,4695139.0,32.73,2.104462013853246,0.87,15.36203848913626,3.5183876490735586
492,office,Queen Anne Plaza,7,1985.0,1.0,4.0,28800.0,58195.0,office,58195.0,non refrigerated warehouse,28800.0,aucun,0.0,81.0,2991674.75,20.86,2.718467425699279,0.87,14.911344239877597,3.0846584827483925
468,office,Interurban Exchange II - SEDO,7,2009.0,1.0,5.0,66234.0,118248.0,office,118016.0,non refrigerated warehouse,66234.0,other,1595.0,95.0,5671256.0,40.47,2.3171068753247295,0.87,15.55092134425534,3.7249702742582897
469,medical,Rosen Building - SEDO,7,1928.0,1.0,3.0,0.0,55200.0,medical,54880.0,refrigerated warehouse,320.0,aucun,0.0,,11594121.0,269.71,2.2567123500001744,0.62,16.266008803510598,5.601048137201335
471,office,428 Westlake,7,2004.0,1.0,6.0,52582.0,86700.0,office,79384.0,non refrigerated warehouse,52582.0,office,3027.0,96.0,3238216.0,22.57,2.202259733286022,0.87,14.990533427651162,3.1599747169480397
